Agent,KML name,Phone norm,Description,Latitude,Longitude
Shoxista,Open Dukon,056445791,"+998905644579, Mosdan Tushib 1 Dukon,",40.500198,70.974098
Shoxista,Mini Market,916836069,"+998916836069, Oydin Buloq,",40.5093,70.981499
Shoxista,Nur Market,978700173,"+998997870017, 3 Maktab Roparasi,",40.537601,70.950699
Shoxista,Mini Market,057009022,"+998905700902, Furqat 2 Dom,",40.518002,70.963997
Shoxista,Mini Market,943250039,"+998994325003, Furqat 9,",40.518398,70.965401
Shaxzoda,7 Kun,056506027,"+998905650602, 7 Maktab Oldi,",40.518501,70.926399
Shaxzoda,Mini Market,200426435,"+998912004264, 35 Maktab Koʻchasi ,",40.5158,70.908096
Shaxzoda,Nur Market,912023656,"+998912023656, Rus Qabriston Oldi,",40.5214,70.920197
Shaxzoda,Safo Market,685535381,"+998916855353, 81 Pete Oldi,",40.5159,70.922096
Shaxzoda,Pepsi Market,141493922,"+998911414939, 22 Maktabdan Oʻtib ,",40.513401,70.923103
Shaxzoda,22 Market,140924422,"+998911409244, 22 Maktab Roʻparasi,",40.513199,70.924202
Shaxzoda,Alo Market,911242323,"Umid Aka, +998911242323,",40.517601,70.912399
Shaxzoda,Lider Market,,"Perezdan Oʻtib ,",40.505001,70.935303
Shaxzoda,Al Ne'mat 2,912010808,"+998912010808, Medical Servis ,",40.529202,70.931099
Shaxzoda,Olim Aka Doʻkon,169551051,"+998916955105, 1 Chi Maktabdan Chapka,",40.531399,70.924599
Shaxzoda,Madina Market,905885599,"+998905885599, Orzu Food Yoni,",40.520401,70.930801
Shaxzoda,Medical Servis Market,243444135,"+998913243444, Guzar 135,",40.5298,70.932701
Shaxzoda,Mini Market,902930501,"+998902930501, Choyxona Oldi,",40.5369,70.943001
Shaxzoda,Pepsi Market,905894739,"+998905894739, Choyxona Oldi,",40.5369,70.943001
Shaxzoda,Yogʻdu,105931344,"+998910593134, 4 Bolnitsa Yuparasi,",40.552399,70.935501
Shaxzoda,Ezgu Market,905502854,"+998905502854, Suddi Yuparasi Domlar Arasi,",40.5424,70.9226
Shaxzoda,Coca Cola Market,305414927,"+998903054149, 27 Mahalla Komitet Yoni,",40.5471,70.921898
Shaxzoda,Pepsi Market,734737720,"+998937347377, 20 Maktabdan Kirish,",40.545399,70.924698
Shaxzoda,Zulfiqor Market,905061491,"+998905061491, Sport Shkola Roʻparasi,",40.5457,70.929298
Shaxzoda,Jamilaxon Market,073155152,"+998500073155, 152 Dom,",40.5522,70.931198
Shaxzoda,Fayz Market,862746862,"+998908627468, 62 Dom,",40.553001,70.925598
Shaxzoda,Ziyoli Market,687101062,"+998916871010, 62 Dom Oldi,",40.553101,70.925499
Shaxzoda,Benazir,331777727,"+998331777727, Kfs Yuparasi,",40.548199,70.924004
Shaxzoda,Dildoraxon Market,855983912,"+998908559839, 12 Dom Yoni,",40.544498,70.922699
Shaxzoda,Butkacha Solıxa Market,684343727,"+998916843437, 27 Maktab,",40.5499,70.925598
Shaxzoda,444 Market,988668444,"+998916988668, 444 Market ,",40.532398,70.907402
Shaxzoda,Dilbar Apa Yangi Zamon,501419444,"+998905501419, 444 Ga Yetme,",40.533501,70.900597
Shaxzoda,Toj Mahal astepa,707373342,"+998997073733, 42 Maktabdan Oʻtgada,",40.528599,70.895203
Shaxzoda,Shukrona Market,301626224,"+998903016262, 24 Petak,",40.535702,70.890999
Shaxzoda,Hoji Aka Market,567699935,"+998905676999, 35 Kollej Yuparasi,",40.527302,70.889503
Shaxzoda,Rado Market,993092393,"+998993092393, Tulaboy Masjid Roparasi,",40.568401,70.949203
Akbarjon,Ruzgor Eko Market,905897700,"+998905897700, Oydin Baliq Taraf,",40.562698,70.957199
Akbarjon,palma market,911539131,"+998911539131, yul buyida ,",40.4701,70.769699
Akbarjon,Farrux Fayz,974136444,"+998974136444, Yakka Tut center,",40.407398,70.521202
Akbarjon,Rado Market,993092393,"+998993092393, Tulaboy Masjid Roparasi,",40.568401,70.949203
Akbarjon,Rado Market,993092393,"+998993092393, Tulaboy Masjid Roparasi,",40.568401,70.949203
Akbarjon,Ruzgor Eko Market,905897700,"+998905897700, Oydin Baliq Taraf,",40.562698,70.957199
